Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT,TLT
Date,,,,,,
2002-07-30,36.1094856262207,81.5199966430664,81.9000015258789,81.5199966430664,81.75,6100
2002-07-31,36.55686950683594,82.52999877929688,82.80000305175781,81.9000015258789,81.94999694824219,29400
2002-08-01,36.76506042480469,83.0,83.0199966430664,82.54000091552734,82.54000091552734,25000
2002-08-02,37.141571044921875,83.8499984741211,84.0999984741211,82.87999725341797,83.16000366210938,52800
2002-08-05,37.305477142333984,84.22000122070312,84.44000244140625,83.8499984741211,84.04000091552734,61100
2002-08-06,36.986541748046875,83.5,83.9000015258789,83.22000122070312,83.87000274658203,64900
2002-08-07,37.07516098022461,83.69999694824219,84.13999938964844,83.36000061035156,83.5999984741211,40300
2002-08-08,37.07516098022461,83.69999694824219,83.7699966430664,83.36000061035156,83.58000183105469,40900
2002-08-09,37.59782791137695,84.87999725341797,84.87999725341797,84.0,84.0,35900
2002-08-12,37.828155517578125,85.4000015258789,86.69999694824219,85.13999938964844,85.30000305175781,32100
2002-08-13,38.29324722290039,86.44999694824219,86.47000122070312,85.37000274658203,85.77999877929688,75400
2002-08-14,38.43943786621094,86.77999877929688,87.9000015258789,86.75,87.45999908447266,130000
2002-08-15,38.102787017822266,86.0199966430664,86.5,85.8499984741211,86.37999725341797,87100
2002-08-16,37.67755126953125,85.05999755859375,86.5199966430664,84.81999969482422,86.44000244140625,85000
2002-08-19,37.7927131652832,85.31999969482422,85.33999633789062,84.70999908447266,85.05000305175781,47300
2002-08-20,38.2135009765625,86.2699966430664,86.29000091552734,85.5999984741211,85.62000274658203,40800
2002-08-21,38.00979995727539,85.80999755859375,86.0999984741211,85.62999725341797,85.68000030517578,40000
2002-08-22,37.67755126953125,85.05999755859375,85.55000305175781,85.05999755859375,85.55000305175781,34400
2002-08-23,38.04964065551758,85.9000015258789,85.94999694824219,85.19999694824219,85.19999694824219,20100
2002-08-26,38.08504486083984,85.9800033569336,86.20999908447266,85.66999816894531,85.69999694824219,23900
2002-08-27,37.84588241577149,85.44000244140625,85.68000030517578,85.19999694824219,85.4000015258789,301800
2002-08-28,38.03634262084961,85.87000274658203,86.18000030517578,85.83999633789062,86.04000091552734,18100
2002-08-29,38.34196090698242,86.55999755859375,86.86000061035156,86.3499984741211,86.76000213623047,135700
2002-08-30,38.57233428955078,87.08000183105469,87.12999725341797,86.44999694824219,86.75,78100
2002-09-03,39.16532516479492,88.04000091552734,88.04000091552734,87.0,87.08000183105469,102100
2002-09-04,39.15642166137695,88.0199966430664,88.30000305175781,87.83999633789062,88.02999877929688,66300
2002-09-05,39.369964599609375,88.5,88.6500015258789,87.37999725341797,88.56999969482422,648400
2002-09-06,38.907283782958984,87.45999908447266,88.19000244140625,87.19999694824219,87.97000122070312,140000
2002-09-09,38.84946823120117,87.33000183105469,87.83000183105469,87.26000213623047,87.5,83800
2002-09-10,39.03632736206055,87.75,88.0,87.0,87.16999816894531,336000
2002-09-11,38.831695556640625,87.29000091552734,87.30000305175781,86.75,87.0,177700
2002-09-12,39.13420486450195,87.97000122070312,88.13999938964844,87.47000122070312,87.4800033569336,43400
2002-09-13,39.49451446533203,88.77999877929688,88.94000244140625,88.18000030517578,88.33000183105469,155100
2002-09-16,39.56125259399414,88.93000030517578,89.22000122070312,88.9000015258789,89.19999694824219,73000
2002-09-17,39.63685989379883,89.0999984741211,89.31999969482422,88.36000061035156,88.63999938964844,75400
2002-09-18,39.64575958251953,89.12000274658203,89.55999755859375,89.0199966430664,89.16000366210938,196600
2002-09-19,39.91268539428711,89.72000122070312,89.7699966430664,89.26000213623047,89.69999694824219,109900
2002-09-20,39.72584533691406,89.30000305175781,89.5199966430664,89.05999755859375,89.44999694824219,113500
2002-09-23,40.081729888916016,90.0999984741211,90.23999786376952,89.7699966430664,90.0,163200
2002-09-24,40.33974075317383,90.68000030517578,90.94000244140624,90.20999908447266,90.3000030517578,251900
2002-09-25,39.85042572021485,89.58000183105469,90.36000061035156,89.26000213623047,90.0999984741211,127200
2002-09-26,39.756988525390625,89.37000274658203,89.52999877929688,88.61000061035156,89.05000305175781,429000
2002-09-27,40.05503463745117,90.04000091552734,90.04000091552734,89.4800033569336,89.52999877929688,298200
2002-09-30,40.21518325805664,90.4000015258789,90.9000015258789,90.08000183105467,90.66000366210938,297800
2002-10-01,39.716400146484375,88.94000244140625,89.30000305175781,88.80000305175781,89.16000366210938,257500
2002-10-02,39.94411087036133,89.44999694824219,89.4800033569336,88.83999633789062,89.23999786376953,91000
2002-10-03,39.845890045166016,89.2300033569336,89.51000213623047,88.80000305175781,89.30000305175781,29900
2002-10-04,39.97090148925781,89.51000213623047,89.72000122070312,88.4000015258789,88.4000015258789,131000
2002-10-07,40.03790664672851,89.66000366210938,89.95999908447266,89.45999908447266,89.9000015258789,433800
2002-10-08,40.05128860473633,89.69000244140625,90.5199966430664,89.36000061035156,89.5,530900
2002-10-09,40.25672149658203,90.1500015258789,90.37999725341795,89.94999694824219,90.3000030517578,402900
2002-10-10,39.939666748046875,89.44000244140625,90.16999816894533,89.27999877929688,90.16999816894533,97100
2002-10-11,39.46630096435547,88.37999725341797,89.22000122070312,88.05999755859375,89.0999984741211,421800
2002-10-14,39.40826797485352,88.25,88.55000305175781,88.06999969482422,88.5,18300
2002-10-15,38.474979400634766,86.16000366210938,87.30000305175781,86.1500015258789,87.0,297100
2002-10-16,38.49283218383789,86.19999694824219,86.5999984741211,85.88999938964844,86.5999984741211,125200
2002-10-17,38.02395248413086,85.1500015258789,85.55999755859375,85.06999969482422,85.13999938964844,233400
2002-10-18,38.1222038269043,85.37000274658203,85.38999938964844,84.27999877929688,85.0199966430664,459100
2002-10-21,37.75154495239258,84.54000091552734,85.5999984741211,84.5,85.5,134900
2002-10-22,37.64439010620117,84.30000305175781,84.8499984741211,84.22000122070312,84.8499984741211,205000
2002-10-23,37.65776443481445,84.33000183105469,85.19999694824219,84.18000030517578,84.75,127800
2002-10-24,37.988243103027344,85.06999969482422,85.25,84.08000183105469,84.16000366210938,339600
2002-10-25,38.12665557861328,85.37999725341797,85.55999755859375,85.1500015258789,85.3499984741211,146100
2002-10-28,38.073036193847656,85.26000213623047,85.63999938964844,85.19999694824219,85.55999755859375,97800
2002-10-29,38.5687370300293,86.37000274658203,86.88999938964844,85.7699966430664,85.81999969482422,125000
2002-10-30,38.55534744262695,86.33999633789062,86.68000030517578,86.06999969482422,86.37000274658203,31900
