Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
1993-04-15,24.842370986938477,44.9375,45.03125,44.75,44.90625,148600
1993-04-16,24.842370986938477,44.9375,45.03125,44.875,44.96875,47900
1993-04-19,24.73871803283691,44.75,45.0625,44.71875,44.9375,157000
1993-04-20,24.617799758911133,44.53125,44.75,44.25,44.6875,279500
1993-04-21,24.600536346435547,44.5,44.625,44.375,44.625,67900
1993-04-22,24.289566040039062,43.9375,44.6875,43.9375,44.3125,97700
1993-04-23,24.185914993286133,43.75,43.96875,43.6875,43.84375,106000
1993-04-26,23.995868682861328,43.40625,43.9375,43.28125,43.78125,62600
1993-04-27,24.25500869750977,43.875,43.875,43.34375,43.34375,156800
1993-04-28,24.20318031311035,43.78125,43.90625,43.71875,43.8125,85900
1993-04-29,24.306825637817383,43.96875,43.96875,43.625,43.875,85000
1993-04-30,24.34139060974121,44.03125,44.28125,44.03125,44.125,88500
1993-05-03,24.49686622619629,44.3125,44.3125,43.90625,44.09375,80500
1993-05-04,24.58326530456543,44.46875,44.625,44.34375,44.40625,149100
1993-05-05,24.652345657348633,44.59375,44.75,44.46875,44.46875,109000
1993-05-06,24.56595993041992,44.4375,44.5625,44.40625,44.53125,54700
1993-05-07,24.514150619506836,44.34375,44.46875,44.28125,44.46875,68000
1993-05-10,24.56595993041992,44.4375,44.6875,44.40625,44.40625,113900
1993-05-11,24.669620513916016,44.625,44.625,44.3125,44.4375,42600
1993-05-12,24.63508415222168,44.5625,44.59375,44.4375,44.4375,31000
1993-05-13,24.34139060974121,44.03125,44.375,44.0,44.375,129100
1993-05-14,24.324098587036133,44.0,44.15625,43.96875,44.03125,63500
1993-05-17,24.410480499267575,44.15625,44.15625,43.9375,44.125,34000
1993-05-18,24.393207550048828,44.125,44.21875,43.96875,44.1875,105200
1993-05-19,24.89421272277832,45.03125,45.03125,43.84375,44.125,50200
1993-05-20,24.96331024169922,45.15625,45.15625,44.9375,45.03125,98200
1993-05-21,24.73871803283691,44.75,45.25,44.71875,45.1875,221400
1993-05-24,24.842370986938477,44.9375,45.09375,44.84375,44.84375,30500
1993-05-25,24.89421272277832,45.03125,45.125,45.03125,45.125,191800
1993-05-26,25.205163955688477,45.59375,45.625,45.125,45.15625,102400
1993-05-27,25.118799209594727,45.4375,45.65625,45.375,45.65625,53800
1993-05-28,24.997861862182617,45.21875,45.40625,45.0,45.40625,79100
1993-06-01,25.23972511291504,45.65625,45.8125,45.3125,45.375,28300
1993-06-02,25.205163955688477,45.59375,45.75,45.34375,45.53125,20300
1993-06-03,25.118799209594727,45.4375,45.5,45.34375,45.5,21600
1993-06-04,25.03241539001465,45.28125,45.3125,45.09375,45.3125,32000
1993-06-07,24.94603157043457,45.125,45.375,45.125,45.375,121400
1993-06-08,24.72144317626953,44.71875,45.0,44.71875,45.0,104500
1993-06-09,24.807804107666016,44.875,45.0625,44.8125,44.875,43300
1993-06-10,24.825105667114254,44.90625,44.9375,44.75,44.84375,17900
1993-06-11,24.928768157958984,45.09375,45.15625,44.90625,45.0625,647400
1993-06-14,24.89421272277832,45.03125,45.1875,45.03125,45.15625,64200
1993-06-15,24.842370986938477,44.9375,45.125,44.9375,45.09375,142400
1993-06-16,24.89421272277832,45.03125,45.03125,44.8125,44.9375,330900
1993-06-17,24.98057556152344,45.1875,45.1875,45.03125,45.125,37400
1993-06-18,24.774890899658203,44.5,44.84375,44.5,44.84375,58500
1993-06-21,24.827072143554688,44.59375,44.625,44.53125,44.625,29300
1993-06-22,24.844451904296875,44.625,44.65625,44.5625,44.65625,137500
1993-06-23,24.618288040161133,44.21875,44.625,44.21875,44.625,227600
1993-06-24,24.948843002319336,44.8125,44.8125,44.34375,44.34375,243700
1993-06-25,24.93146514892578,44.78125,44.90625,44.75,44.78125,44800
1993-06-28,25.209810256958008,45.28125,45.28125,44.9375,45.0,439900
1993-06-29,25.088031768798828,45.0625,45.21875,45.0,45.21875,207500
1993-06-30,25.088031768798828,45.0625,45.21875,45.0,45.125,437600
1993-07-01,25.01843643188477,44.9375,45.125,44.875,45.125,605700
1993-07-02,24.879247665405273,44.6875,44.8125,44.53125,44.78125,285400
1993-07-06,24.618288040161133,44.21875,44.75,44.15625,44.625,246400
1993-07-07,24.68787384033203,44.34375,44.40625,44.1875,44.1875,343700
1993-07-08,24.966251373291016,44.84375,44.9375,44.3125,44.375,248200
1993-07-09,25.03583335876465,44.96875,44.96875,44.75,44.84375,378200
1993-07-12,25.01843643188477,44.9375,44.96875,44.84375,44.90625,373700
1993-07-13,25.001052856445312,44.90625,45.09375,44.65625,44.96875,389600
1993-07-14,25.088031768798828,45.0625,45.1875,44.90625,44.9375,617300
1993-07-15,24.9836368560791,44.875,45.03125,44.78125,45.03125,443800
1993-07-16,24.91404151916504,44.75,44.9375,44.6875,44.90625,216400
1993-07-19,24.896657943725582,44.71875,44.75,44.59375,44.75,188200
1993-07-20,24.966251373291016,44.84375,44.84375,44.46875,44.6875,68500
1993-07-21,24.948843002319336,44.8125,44.8125,44.65625,44.78125,142700
1993-07-22,24.774890899658203,44.5,44.8125,44.5,44.75,632400
1993-07-23,24.896657943725582,44.71875,44.71875,44.5625,44.59375,286200
1993-07-26,25.03583335876465,44.96875,45.0625,44.84375,44.84375,121300
1993-07-27,25.01843643188477,44.9375,45.03125,44.78125,45.0,92800
1993-07-28,24.966251373291016,44.84375,44.9375,44.78125,44.84375,30800
1993-07-29,25.10544204711914,45.09375,45.21875,44.875,44.9375,331000
1993-07-30,24.966251373291016,44.84375,45.09375,44.78125,45.09375,75300
1993-08-02,25.03583335876465,44.96875,45.125,44.90625,44.90625,41300
1993-08-03,25.05323600769043,45.0,45.1875,44.84375,45.0625,81600
1993-08-04,25.05323600769043,45.0,45.09375,44.875,45.0,434000
1993-08-05,25.001052856445312,44.90625,45.0,44.84375,45.0,36800
1993-08-06,25.03583335876465,44.96875,45.0625,44.90625,45.03125,402300
1993-08-09,25.175024032592773,45.21875,45.34375,45.0,45.09375,828200
1993-08-10,25.15761947631836,45.1875,45.21875,45.125,45.1875,604900
1993-08-11,25.15761947631836,45.1875,45.3125,45.15625,45.15625,542200
1993-08-12,25.088031768798828,45.0625,45.3125,44.90625,45.3125,303700
1993-08-13,25.122825622558594,45.125,45.15625,45.09375,45.09375,103500
1993-08-16,25.26201438903809,45.375,45.5,45.15625,45.15625,241800
1993-08-17,25.34900283813477,45.53125,45.53125,45.34375,45.34375,369300
1993-08-18,25.488191604614254,45.78125,45.875,45.65625,45.6875,414300
1993-08-19,25.488191604614254,45.78125,45.8125,45.71875,45.8125,28500
1993-08-20,25.505584716796875,45.8125,45.8125,45.65625,45.6875,80700
1993-08-23,25.453388214111328,45.71875,45.75,45.625,45.625,15600
1993-08-24,25.73176383972168,46.21875,46.21875,45.71875,45.71875,273400
1993-08-25,25.749168395996097,46.25,46.4375,46.15625,46.21875,242300
1993-08-26,25.766555786132812,46.28125,46.53125,46.09375,46.28125,120000
1993-08-27,25.749168395996097,46.25,46.25,46.15625,46.15625,25700
1993-08-30,25.853551864624023,46.4375,46.5,46.28125,46.28125,183500
1993-08-31,25.92314338684082,46.5625,46.5625,46.34375,46.40625,66500
1993-09-01,25.88833999633789,46.5,46.59375,46.40625,46.40625,136500
1993-09-02,25.801353454589844,46.34375,46.59375,46.3125,46.53125,472400
1993-09-03,25.818754196166992,46.375,46.4375,46.25,46.3125,630500
1993-09-07,25.644777297973633,46.0625,46.4375,46.0,46.375,196400
1993-09-08,25.557781219482425,45.90625,46.0625,45.59375,46.0625,269900
1993-09-09,25.6099853515625,46.0,46.03125,45.71875,45.71875,239200
1993-09-10,25.836156845092773,46.40625,46.4375,46.0625,46.125,106500
1993-09-13,25.853551864624023,46.4375,46.5625,46.4375,46.5625,66900
1993-09-14,25.749168395996097,46.25,46.3125,46.09375,46.3125,184500
1993-09-15,25.818754196166992,46.375,46.40625,45.90625,46.0625,101000
1993-09-16,25.71434783935547,46.1875,46.34375,46.15625,46.3125,54300
1993-09-17,25.66449737548828,45.8125,45.90625,45.75,45.875,200900
1993-09-20,25.454429626464844,45.4375,45.96875,45.4375,45.875,57800
1993-09-21,25.366886138916016,45.28125,45.5625,44.8125,45.5,318200
1993-09-22,25.576990127563477,45.65625,45.71875,45.375,45.4375,439700
1993-09-23,25.717016220092773,45.90625,45.9375,45.71875,45.78125,88500
1993-09-24,25.64700508117676,45.78125,45.875,45.71875,45.84375,53500
1993-09-27,25.927095413208008,46.28125,46.28125,46.125,46.125,274600
1993-09-28,25.874568939208984,46.1875,46.3125,46.15625,46.3125,158300
1993-09-29,25.787050247192383,46.03125,46.3125,45.96875,46.1875,221000
1993-09-30,25.734539031982425,45.9375,46.125,45.84375,46.03125,99300
1993-10-01,25.857078552246097,46.15625,46.21875,45.8125,45.875,22700
1993-10-04,25.892086029052734,46.21875,46.21875,46.09375,46.21875,1038500
1993-10-05,25.857078552246097,46.15625,46.3125,46.0,46.3125,436500
1993-10-06,25.839574813842773,46.125,46.375,46.125,46.1875,209200
1993-10-07,25.769556045532227,46.0,46.1875,45.96875,46.1875,59400
1993-10-08,25.8045711517334,46.0625,46.15625,45.71875,46.125,54400
1993-10-11,25.857078552246097,46.15625,46.25,46.15625,46.15625,467100
1993-10-12,25.892086029052734,46.21875,46.25,46.1875,46.21875,26200
1993-10-13,25.892086029052734,46.21875,46.25,46.15625,46.25,139100
1993-10-14,26.224720001220703,46.8125,46.8125,46.28125,46.40625,108100
1993-10-15,26.364757537841797,47.0625,47.15625,46.90625,47.03125,1502500
1993-10-18,26.294736862182617,46.9375,47.03125,46.875,47.03125,722400
1993-10-19,26.10216903686523,46.59375,46.96875,46.59375,46.875,880100
1993-10-20,26.13718605041504,46.65625,46.75,46.5625,46.75,230400
1993-10-21,26.10216903686523,46.59375,46.6875,46.53125,46.6875,56200
1993-10-22,25.97962760925293,46.375,46.84375,46.375,46.65625,390700
1993-10-25,26.049640655517575,46.5,46.5625,46.28125,46.40625,114500
1993-10-26,26.032142639160156,46.46875,46.5,46.3125,46.46875,186200
1993-10-27,26.049640655517575,46.5,46.53125,46.40625,46.40625,118400
1993-10-28,26.242212295532227,46.84375,46.96875,46.5625,46.5625,129600
1993-10-29,26.242212295532227,46.84375,46.875,46.78125,46.8125,80700
1993-11-01,26.312259674072266,46.96875,47.0,46.78125,46.78125,36400
1993-11-02,26.294736862182617,46.9375,47.0,46.65625,46.90625,262100
1993-11-03,25.96211051940918,46.34375,46.90625,46.125,46.90625,479100
1993-11-04,25.682016372680664,45.84375,46.34375,45.8125,46.34375,130400
1993-11-05,25.8045711517334,46.0625,46.0625,45.53125,45.71875,363200
1993-11-08,25.839574813842773,46.125,46.25,45.96875,46.09375,367600
1993-11-09,25.857078552246097,46.15625,46.46875,46.125,46.4375,246900
1993-11-10,26.049640655517575,46.5,46.5,46.03125,46.15625,46500
1993-11-11,25.97962760925293,46.375,46.625,46.34375,46.5,88900
1993-11-12,26.10216903686523,46.59375,46.75,46.4375,46.46875,108200
1993-11-15,26.08466911315918,46.5625,46.6875,46.4375,46.6875,243300
1993-11-16,26.207216262817383,46.78125,46.8125,46.46875,46.65625,492600
1993-11-17,26.067161560058594,46.53125,46.8125,46.40625,46.8125,39600
1993-11-18,25.997133255004883,46.40625,46.5625,46.28125,46.46875,240800
1993-11-19,25.944604873657227,46.3125,46.375,46.21875,46.25,106000
1993-11-22,25.787050247192383,46.03125,46.21875,45.875,46.1875,165300
1993-11-23,25.927095413208008,46.28125,46.3125,46.03125,46.28125,89700
1993-11-24,26.032142639160156,46.46875,46.5,46.34375,46.40625,77200
1993-11-26,26.049640655517575,46.5,46.59375,46.46875,46.59375,1019800
1993-11-29,25.944604873657227,46.3125,46.71875,46.3125,46.625,517500
1993-11-30,25.96211051940918,46.34375,46.5625,46.25,46.28125,230000
1993-12-01,25.997133255004883,46.40625,46.625,46.40625,46.59375,379200
1993-12-02,26.067161560058594,46.53125,46.5625,46.40625,46.5,352000
1993-12-03,26.17218017578125,46.71875,46.71875,46.5,46.5,306000
1993-12-06,26.259727478027344,46.875,46.9375,46.78125,46.78125,99500
1993-12-07,26.242212295532227,46.84375,46.90625,46.78125,46.875,88800
1993-12-08,26.242212295532227,46.84375,46.84375,46.78125,46.84375,146700
1993-12-09,26.154693603515625,46.6875,46.90625,46.625,46.84375,416500
1993-12-10,26.10216903686523,46.59375,46.71875,46.5,46.71875,412900
1993-12-13,26.259727478027344,46.875,46.875,46.53125,46.59375,273200
1993-12-14,26.067161560058594,46.53125,46.90625,46.53125,46.90625,41900
1993-12-15,26.032142639160156,46.46875,46.625,46.46875,46.59375,82600
1993-12-16,26.11966896057129,46.625,46.65625,46.5625,46.65625,78200
1993-12-17,26.26322364807129,46.5625,46.59375,46.375,46.40625,104700
1993-12-20,26.298473358154297,46.625,46.65625,46.5,46.53125,68800
1993-12-21,26.210338592529297,46.46875,46.5625,46.40625,46.5625,205700
1993-12-22,26.38662338256836,46.78125,46.8125,46.5,46.59375,410300
1993-12-23,26.368988037109375,46.75,46.84375,46.6875,46.75,533800
1993-12-27,26.509994506835938,47.0,47.0,46.75,46.75,447100
1993-12-28,26.562875747680664,47.09375,47.125,46.9375,46.96875,880600
1993-12-29,26.52762222290039,47.03125,47.15625,47.0,47.125,266700
1993-12-30,26.421863555908203,46.84375,47.0,46.75,47.0,219900
1993-12-31,26.280853271484375,46.59375,47.0,46.5625,46.9375,312900
1994-01-03,26.210338592529297,46.46875,46.65625,46.40625,46.59375,960900
1994-01-04,26.316102981567383,46.65625,46.65625,46.46875,46.53125,164300
1994-01-05,26.368988037109375,46.75,46.78125,46.53125,46.71875,710900
1994-01-06,26.368988037109375,46.75,46.84375,46.6875,46.8125,201000
1994-01-07,26.52762222290039,47.03125,47.0625,46.71875,46.84375,775500
1994-01-10,26.844886779785156,47.59375,47.59375,46.96875,47.09375,593700
1994-01-11,26.792028427124023,47.5,47.5625,47.34375,47.5625,295200
1994-01-12,26.70386505126953,47.34375,47.53125,47.1875,47.53125,158400
1994-01-13,26.633363723754883,47.21875,47.3125,47.15625,47.21875,244300
1994-01-14,26.739118576049805,47.40625,47.5,47.375,47.375,137200
1994-01-17,26.739118576049805,47.40625,47.46875,47.3125,47.40625,17700
1994-01-18,26.77437400817871,47.46875,47.53125,47.375,47.46875,166400
1994-01-19,26.70386505126953,47.34375,47.46875,47.25,47.40625,200800
1994-01-20,26.77437400817871,47.46875,47.5,47.375,47.40625,281100
1994-01-21,26.721515655517575,47.375,47.53125,47.34375,47.53125,85600
1994-01-24,26.615747451782227,47.1875,47.5625,47.1875,47.34375,373800
1994-01-25,26.615747451782227,47.1875,47.25,47.09375,47.21875,310400
1994-01-26,26.68624496459961,47.3125,47.34375,47.125,47.1875,145100
1994-01-27,26.933040618896484,47.75,47.8125,47.34375,47.40625,344500
1994-01-28,27.00352668762207,47.875,48.03125,47.875,47.9375,356500
1994-01-31,27.197404861450195,48.21875,48.3125,48.0,48.0625,313800
1994-02-01,27.0564022064209,47.96875,48.15625,47.90625,48.15625,303600
1994-02-02,27.232683181762695,48.28125,48.28125,48.09375,48.125,307600
1994-02-03,27.10928726196289,48.0625,48.1875,47.90625,48.1875,466100
1994-02-04,26.492374420166016,46.96875,48.125,46.96875,48.0625,1403200
1994-02-07,26.615747451782227,47.1875,47.3125,46.84375,46.84375,516400
1994-02-08,26.633363723754883,47.21875,47.28125,47.03125,47.28125,188200
1994-02-09,26.739118576049805,47.40625,47.4375,47.1875,47.25,144600
1994-02-10,26.509994506835938,47.0,47.40625,47.0,47.375,883900
1994-02-11,26.598127365112305,47.15625,47.28125,46.8125,47.03125,519400
1994-02-14,26.633363723754883,47.21875,47.375,47.0,47.0625,2742100
1994-02-15,26.77437400817871,47.46875,47.5,47.25,47.3125,374700
1994-02-16,26.75676727294922,47.4375,47.53125,47.34375,47.53125,287600
1994-02-17,26.598127365112305,47.15625,47.6875,47.03125,47.65625,342400
1994-02-18,26.43947982788086,46.875,47.21875,46.75,47.1875,313300
1994-02-22,26.70386505126953,47.34375,47.34375,47.0,47.0,154500
1994-02-23,26.633363723754883,47.21875,47.4375,47.0625,47.40625,391700
1994-02-24,26.280853271484375,46.59375,47.0625,46.5625,47.0625,770800
1994-02-25,26.40423583984375,46.8125,46.8125,46.5625,46.65625,531300
1994-02-28,26.40423583984375,46.8125,47.0625,46.8125,46.9375,333000
1994-03-01,26.298473358154297,46.625,46.90625,46.375,46.8125,423600
1994-03-02,26.33373260498047,46.6875,46.6875,45.90625,46.03125,581500
1994-03-03,26.26322364807129,46.5625,46.625,46.4375,46.625,223200
1994-03-04,26.33373260498047,46.6875,46.8125,46.40625,46.5625,595800
1994-03-07,26.4747371673584,46.9375,47.0,46.84375,46.84375,539800
1994-03-08,26.368988037109375,46.75,46.96875,46.6875,46.96875,880300
1994-03-09,26.492374420166016,46.96875,47.0,46.59375,46.8125,2500100
1994-03-10,26.280853271484375,46.59375,46.9375,46.4375,46.9375,207400
1994-03-11,26.421863555908203,46.84375,46.90625,46.40625,46.65625,576600
1994-03-14,26.457117080688477,46.90625,47.03125,46.84375,47.03125,345900
1994-03-15,26.43947982788086,46.875,47.09375,46.84375,47.0,748600
1994-03-16,26.65100860595703,47.25,47.25,46.78125,46.9375,455500
