Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
5/15/26,81.63,0.96,,,0.896,Y,R,R,1.18,DnUp
5/18/26,81.542,0.97,,,0.991,R,Y,Y,1.13,DnUp
5/19/26,80.949,0.95,,,0.815,R,R,R,1.06,DnUp
5/20/26,82.243,0.99,,,1.184,Y,Y,G,1.12,DnUp
5/21/26,82.708,1.0,,,1.288,Y,Y,Y,1.18,DnUp
5/22/26,83.163,1.01,,,1.31,G,G,G,1.24,UpUp
5/26/26,84.196,1.02,,,1.474,Y,G,G,1.34,UpUp
5/27/26,84.053,1.03,,,1.592,Y,G,G,1.39,UpUp
5/28/26,84.498,1.05,,,1.715,G,G,G,1.45,UpUp
5/29/26,84.412,1.046,28.7,17.2,1.67,Y,Y,Y,1.466,UpUp
