Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
Invesco QQQ Trust Series 1,QQQ,xO,717.51,-12.36,-1.69,717.51,1.00,1.00,1.13,1.05,H,680.82,0,0.00,0.00,999.99,0.00,3.03,0.42,58,13,0.90,720.21,722.13,715.92,6.21,48164968,41904129,+14.94,0.00,0,0.00,0.00,678.65,486938.19,1.28,ETFs (US\LargeCap),ETFs
ProShares UltraPro QQQ,TQQQ,xO,72.53,-3.87,-5.07,72.53,1.00,1.00,1.11,1.04,H,70.40,0,0.00,0.00,999.99,0.00,0.38,0.52,58,16,0.92,73.36,73.96,72.01,1.95,49990528,67062396,-25.46,0.00,0,0.00,0.00,500.95,36333.90,1.38,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,86.135,-1.073,-1.23,79.98,0.92,0.85,0.94,0.93,H,81.24,5,0.77,0.89,111.86,0.05,0.91,1.06,56,10,1.05,86.845,86.845,86.135,0.71,1402491,1796908,-21.95,5120.28,-2,20.03,4.30,255.58,22014.38,0.80,VV COMPOSITE,VV COMPOSITE
