Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
7/6/26,85.781,0.96,,,0.943,G,Y,Y,1.16,UpUp
7/7/26,84.78,0.93,,,0.682,Y,R,R,1.09,DnUp
7/8/26,84.221,0.91,,,0.507,Y,R,R,1.01,DnUp
7/9/26,85.053,0.93,,,0.672,Y,Y,Y,1.02,DnUp
7/10/26,85.057,0.93,,,0.724,Y,Y,Y,1.02,DnUp
7/13/26,84.288,0.91,,,0.612,Y,R,R,0.98,DnDn
7/14/26,84.598,0.92,,,0.643,Y,Y,Y,0.97,DnDn
7/15/26,84.572,0.93,,,0.677,Y,Y,Y,0.96,UpDn
7/16/26,84.362,0.91,,,0.694,R,R,Y,0.95,C/Dn
7/17/26,83.842,0.899,16.7,28.0,0.6,R,R,R,0.91,DnDn
