Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,76.42,+3.07,+4.19,76.42,1.00,1.00,1.58,1.26,B,70.38,0,0.00,0.00,999.99,0.00,0.38,0.50,58,16,0.92,75.54,77.45,75.11,2.34,53732052,73195980,-26.59,0.00,0,0.00,0.00,478.30,36551.68,1.56,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,722.82,+10.22,+1.43,722.82,1.00,1.00,1.30,1.12,B,672.39,0,0.00,0.00,999.99,0.00,3.03,0.42,58,13,0.90,719.93,726.08,718.45,7.63,29416924,43452444,-32.30,0.00,0,0.00,0.00,659.60,476772.06,1.35,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,85.781,+0.533,+0.63,76.47,0.91,0.85,0.96,0.94,H,80.25,5,0.63,0.73,136.16,0.04,0.93,1.08,55,10,1.05,85.586,85.894,85.541,0.35,1627977,1961709,-17.01,5000.11,-3,19.29,4.45,259.19,22233.58,0.81,VV COMPOSITE,VV COMPOSITE
