Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,84.56,+0.88,+1.05,84.56,1.00,1.00,1.98,1.46,B,64.88,0,0.00,0.00,999.99,0.00,0.32,0.38,58,18,0.93,84.41,85.70,83.53,2.17,67268016,83787660,-19.72,0.00,0,0.00,0.00,472.20,39929.23,1.64,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,738.31,+2.71,+0.37,738.31,1.00,1.00,1.58,1.25,B,653.68,0,0.00,0.00,999.99,0.00,2.81,0.38,58,13,0.89,737.84,741.63,735.25,6.38,38798316,47181485,-17.77,0.00,0,0.00,0.00,664.65,490717.76,1.40,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,84.409,-0.089,-0.11,75.26,0.90,0.85,1.05,0.97,H,77.72,5,0.70,0.83,120.58,0.05,0.92,1.09,55,10,1.06,84.625,84.63,84.211,0.42,2305926,1829878,+26.02,5005.56,-3,19.46,4.34,257.25,21714.21,0.85,VV COMPOSITE,VV COMPOSITE
