Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,77.15,+2.55,+3.42,77.15,1.00,1.00,1.34,1.14,B,72.12,0,0.00,0.00,999.99,0.00,0.38,0.49,58,16,0.92,75.04,77.766,74.71,3.06,49184692,69252466,-28.98,0.00,0,0.00,0.00,503.95,38879.74,1.35,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,732.07,+8.37,+1.16,732.07,1.00,1.00,1.18,1.07,H,684.41,0,0.00,0.00,999.99,0.00,3.03,0.41,58,13,0.90,725.15,733.96,724.03,9.93,31032412,43728557,-29.03,0.00,0,0.00,0.00,674.40,493708.03,1.28,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,87.172,+0.331,+0.38,79.85,0.91,0.85,0.98,0.94,H,81.36,5,0.63,0.72,138.37,0.04,0.91,1.04,56,10,1.05,86.983,87.304,86.98,0.32,1538273,1831982,-16.03,5108.25,-2,20.04,4.35,254.92,22221.89,0.80,VV COMPOSITE,VV COMPOSITE
