Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
6/5/26,82.539,0.94,,,0.842,R,R,R,1.23,DnUp
6/8/26,82.998,0.96,,,0.945,Y,Y,Y,1.17,DnUp
6/9/26,83.213,0.97,,,0.946,Y,Y,Y,1.15,DnUp
6/10/26,82.124,0.94,,,0.707,R,R,R,1.06,DnUp
6/11/26,84.164,0.99,,,1.113,Y,Y,G,1.15,DnUp
6/12/26,84.636,1.0,,,1.184,Y,Y,G,1.22,UpUp
6/15/26,85.512,1.0,,,1.281,G,Y,G,1.31,UpUp
6/16/26,84.95,0.99,,,1.196,Y,Y,Y,1.3,UpUp
6/17/26,84.249,0.97,,,0.908,Y,Y,R,1.23,UpUp
6/18/26,85.224,0.98,23.8,23.9,0.99,G,Y,Y,1.25,UpUp
