Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,72.23,-4.19,-5.48,72.23,1.00,1.00,1.18,1.07,H,69.50,0,0.00,0.00,999.99,0.00,0.38,0.53,58,16,0.92,73.70,74.39,70.76,3.63,69631128,72435303,-3.87,0.00,0,0.00,0.00,483.10,34894.32,1.54,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,709.43,-13.39,-1.85,709.43,1.00,1.00,1.16,1.06,H,670.67,0,0.00,0.00,999.99,0.00,3.03,0.43,58,13,0.90,714.17,716.35,704.90,11.45,41215728,43253224,-4.71,0.00,0,0.00,0.00,674.25,478333.17,1.34,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,84.78,-1.001,-1.17,76.29,0.91,0.85,0.93,0.93,H,80.10,5,0.58,0.69,146.17,0.04,0.93,1.10,55,10,1.05,85.503,85.535,84.614,0.92,1691961,1958508,-13.61,5001.86,-3,19.30,4.39,259.20,21974.98,0.81,VV COMPOSITE,VV COMPOSITE
