Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
6/26/26,84.952,0.95,,,0.79,Y,Y,Y,1.15,DnUp
6/29/26,85.577,0.96,,,0.869,G,Y,Y,1.19,UpUp
6/30/26,86.177,0.96,,,0.869,G,Y,Y,1.24,UpUp
7/1/26,85.576,0.96,,,0.86,Y,Y,Y,1.21,UpUp
7/2/26,85.248,0.95,,,0.84,Y,Y,Y,1.16,UpUp
7/6/26,85.781,0.96,,,0.943,G,Y,Y,1.16,UpUp
7/7/26,84.78,0.93,,,0.682,Y,R,R,1.09,DnUp
7/8/26,84.221,0.91,,,0.507,Y,R,R,1.01,DnUp
7/9/26,85.053,0.93,,,0.672,Y,Y,Y,1.02,DnUp
7/10/26,85.052,0.926,18.1,25.2,0.72,R,Y,Y,1.02,DnUp
