Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
6/22/26,85.378,0.97,,,0.921,G,R,R,1.26,UpUp
6/23/26,84.099,0.94,,,0.691,Y,R,R,1.17,DnUp
6/24/26,84.291,0.93,,,0.68,Y,R,R,1.12,DnUp
6/25/26,85.012,0.93,,,0.706,G,Y,Y,1.14,UpUp
6/26/26,84.952,0.95,,,0.79,Y,Y,Y,1.15,DnUp
6/29/26,85.577,0.96,,,0.869,G,Y,Y,1.19,UpUp
6/30/26,86.177,0.96,,,0.869,G,Y,Y,1.24,UpUp
7/1/26,85.576,0.96,,,0.86,Y,Y,Y,1.21,UpUp
7/2/26,85.248,0.95,,,0.84,Y,Y,Y,1.16,UpUp
7/6/26,85.77,0.96,22.5,24.1,0.94,G,Y,Y,1.163,UpUp
