Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,74.44,-8.14,-9.86,74.44,1.00,1.00,1.53,1.23,B,68.98,0,0.00,0.00,999.99,0.00,0.32,0.43,58,15,0.91,75.12,77.74,73.91,3.83,80286168,73740900,+8.88,0.00,0,0.00,0.00,472.30,35158.01,1.62,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,713.65,-24.30,-3.29,713.65,1.00,1.00,1.31,1.13,B,666.53,0,0.00,0.00,999.99,0.00,3.03,0.42,58,13,0.89,715.74,723.61,712.11,11.50,52003692,42877213,+21.29,0.00,0,0.00,0.00,666.10,475362.26,1.36,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,84.099,-1.279,-1.50,75.35,0.91,0.85,0.94,0.93,H,79.13,5,0.64,0.76,131.40,0.04,0.93,1.11,55,10,1.06,84.054,84.643,83.83,0.81,2229625,1903166,+17.15,5015.69,-3,19.35,4.35,259.26,21803.51,0.81,VV COMPOSITE,VV COMPOSITE
