Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,77.46,-3.54,-4.37,77.46,1.00,1.00,1.66,1.29,B,70.71,0,0.00,0.00,999.99,0.00,0.38,0.49,58,16,0.92,78.72,79.64,77.23,2.41,62257344,73479911,-15.27,0.00,0,0.00,0.00,482.50,37374.45,1.60,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,725.17,-11.23,-1.52,725.17,1.00,1.00,1.32,1.13,B,672.90,0,0.00,0.00,999.99,0.00,3.03,0.42,58,13,0.90,729.19,731.92,724.60,7.32,38884824,43147394,-9.88,0.00,0,0.00,0.00,670.70,486371.52,1.36,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,85.576,-0.601,-0.70,75.98,0.91,0.85,0.96,0.94,H,80.06,5,0.62,0.73,138.03,0.04,0.93,1.09,55,10,1.05,85.819,86.237,85.543,0.69,1887819,1955266,-3.45,4998.02,-3,19.33,4.43,258.59,22129.10,0.81,VV COMPOSITE,VV COMPOSITE
