Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
Invesco QQQ Trust Series 1,QQQ,xO,705.94,-11.80,-1.64,705.94,1.00,1.00,1.10,1.04,H,673.75,0,0.00,0.00,999.99,0.00,3.03,0.43,58,13,0.90,712.01,713.599,702.61,10.99,37450848,42822033,-12.54,0.00,0,0.00,0.00,668.75,472097.38,1.31,ETFs (US\LargeCap),ETFs
ProShares UltraPro QQQ,TQQQ,xO,70.74,-3.70,-4.97,70.74,1.00,1.00,1.00,1.00,H,69.95,0,0.00,0.00,999.99,0.00,0.38,0.54,58,16,0.92,72.61,73.117,69.69,3.43,65591536,71091837,-7.74,0.00,0,0.00,0.00,483.55,34206.33,1.47,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,84.362,-0.21,-0.25,76.02,0.91,0.84,0.91,0.92,H,80.10,5,0.68,0.81,124.06,0.05,0.93,1.10,55,10,1.05,84.29,84.668,84.126,0.54,1631916,1950761,-16.34,5000.95,-3,19.60,4.30,255.14,21524.12,0.80,VV COMPOSITE,VV COMPOSITE
