Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
Invesco QQQ Trust Series 1,QQQ,xO,696.06,+0.73,+0.10,696.06,1.00,1.00,1.06,1.03,H,666.90,0,0.00,0.00,999.99,0.00,3.03,0.44,58,13,0.90,702.16,705.80,695.51,10.29,28995796,43188522,-32.86,0.00,0,0.00,0.00,664.60,462601.46,1.31,ETFs (US\LargeCap),ETFs
ProShares UltraPro QQQ,TQQQ,xO,67.65,+0.12,+0.18,67.65,1.00,1.00,0.91,0.97,S,67.98,0,0.00,0.00,999.99,0.00,0.38,0.56,58,16,0.92,69.47,70.505,67.50,3.01,48349872,71523048,-32.40,0.00,0,0.00,0.00,482.55,32644.51,1.47,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,83.466,-0.379,-0.45,77.19,0.92,0.84,0.88,0.91,H,79.63,5,0.65,0.78,128.41,0.04,0.93,1.11,55,10,1.05,84.135,84.22,83.466,0.75,1447269,1946581,-25.65,5004.77,-3,19.61,4.26,255.20,21300.52,0.79,VV COMPOSITE,VV COMPOSITE
