Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
9/14/26,83.627,0.92,,,0.579,R,Y,Y,0.81,DnDn
9/15/26,83.127,0.9,,,0.469,R,R,R,0.77,DnDn
9/16/26,82.867,0.89,,,0.402,R,R,R,0.73,DnDn
9/17/26,83.527,0.92,,,0.517,Y,Y,Y,0.75,DnDn
9/18/26,83.462,0.91,,,0.481,R,R,R,0.76,DnDn
9/21/26,84.18,0.94,,,0.62,Y,Y,Y,0.81,UpDn
9/22/26,84.479,0.96,,,0.709,Y,Y,Y,0.85,UpDn
9/23/26,83.621,0.92,,,0.503,Y,Y,Y,0.82,UpDn
9/24/26,83.404,0.91,,,0.446,R,R,R,0.79,DnDn
9/25/26,83.618,0.911,12.9,27.4,0.47,Y,Y,Y,0.787,UpDn
