Company,Symbol,Exch,Price,$Change,%PRC,Value,RV,RS,RT,VST,REC,Stop,GRT,EPS,EY,P/E,GPE,DIV,DY,DS,DG,YSG,Open,High,Low,Range,Volume,AvgVol,%Vol,Sales(M),Sales GRT,SPS,P/S,Shares(M),Mkt Cap($M),CI,Industry,Sector
ProShares UltraPro QQQ,TQQQ,xO,76.27,+3.22,+4.41,76.27,1.00,1.00,1.79,1.36,B,64.00,0,0.00,0.00,999.99,0.00,0.32,0.42,58,18,0.93,76.86,78.47,75.38,3.09,75596776,77744036,-2.76,0.00,0,0.00,0.00,465.20,35480.80,1.61,ETFs (US\LargeCap),ETFs
Invesco QQQ Trust Series 1,QQQ,xO,716.07,+11.01,+1.56,716.07,1.00,1.00,1.44,1.19,B,648.47,0,0.00,0.00,999.99,0.00,2.81,0.39,58,13,0.89,717.81,723.03,713.07,9.96,46395664,43609553,+6.39,0.00,0,0.00,0.00,665.95,476866.83,1.38,ETFs (US\LargeCap),ETFs
VV Composite,VVC,TE,82.998,+0.459,+0.56,74.93,0.91,0.85,0.96,0.94,H,77.49,5,0.68,0.82,122.06,0.05,0.94,1.13,55,10,1.06,83.249,83.57,82.98,0.59,1887382,1834290,+2.89,5014.09,-3,19.45,4.27,257.84,21400.20,0.83,VV COMPOSITE,VV COMPOSITE
