Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
5/21/26,82.708,1.0,,,1.288,Y,Y,Y,1.18,DnUp
5/22/26,83.163,1.01,,,1.31,G,G,G,1.24,UpUp
5/26/26,84.196,1.02,,,1.474,Y,G,G,1.34,UpUp
5/27/26,84.053,1.03,,,1.592,Y,G,G,1.39,UpUp
5/28/26,84.498,1.05,,,1.715,G,G,G,1.45,UpUp
5/29/26,84.409,1.05,,,1.664,Y,Y,Y,1.46,UpUp
6/1/26,84.512,1.03,,,1.52,G,Y,Y,1.45,UpUp
6/2/26,84.957,1.03,,,1.524,G,Y,Y,1.47,UpUp
6/3/26,84.413,1.0,,,1.114,Y,Y,Y,1.39,UpUp
6/4/26,84.872,1.016,27.1,19.8,1.37,G,Y,Y,1.402,UpUp
